nome,nota,resumo
Medianeras: Buenos Aires na Era do Amor Virtual,5.0,"Sabe aqueles filmes que começam meio estranho e de repente mudam, capturando sua atenção minuto a minuto e tornando-se uma agradável surpresa? Esse longa com título grande demais (no Brasil) é um belo exemplo. Medianeras (título original) são as laterais dos prédios, que viraram local de propaganda e já abrigaram murais de pintores. O tal restante inserido em terras brasileiras (Buenos Aires na Era do Amor Digital) deve-se a correlação que o texto faz entre a arquitetura, a modernidade, o crescimento desordenado de uma cidade (no caso, a capital argentina) e o que vem a reboque para seus habitantes. Achou meio maluco? É, mas pode apostar que no decorrer da história a peculiaridade das construções (como as medianeras) ganhará destaque e você vai até rir com elas. Com dois atores em perfeita sintonia com o texto, Javier Drolas (O Mural) e a bela Pilar López de Ayala (Lope), a história mostra a depressão começando a bater na porta de Martin e Mariana, seus personagens. Ele faz sites, ela é vitrinista, um é debochado, a outra tem fobia de elevador e enquanto o primeiro curte Guerra nas Estrelas e Astro Boy, a segunda se diverte com ""Onde Está Wally?"". Eles são diferentes, pensam igual, não se conhecem, são vizinhos e, principalmente, solidários na dor da solidão. Entre encontros e desencontros, citações de Woody Allen (Manhattan) e Tim Burton (O Estranho Mundo de Jack), algumas passagens são memoráveis. Como alguns momentos da vida de Mariana ""musicados"" por um misterioso vizinho de parede, fera no piano, e que ela parece dominar com um inusitado ""controle remoto"". Só vendo para crer e se encantar.Nascida de um curta de 2005, esta modesta coprodução dos ""hermanos"" é bem resolvida com roteiro equilibrado, escrito por Gustavo Taretto, que estreia (bem) na direção de um longa. Dotado de bom gosto com a câmera, algumas de suas sequências são únicas e encantadoras, seja dentro de uma vitrine, num simples take de um rosto apoiado numa mão artificial ou numa sensual “transa” com um manequim. E não faltarão cenas de causar estranhamento e delírios nos que curtem belas imagens. Quando fazem uso da intervenção gráfica na película, Taretto e sua equipe premiam o espectador com momentos de doce simplicidade e encantamento, conjugados com uma trilha sonora de primeira e edição inteligente. Além de um final extremamente inspirador, ornamentado com um gostoso sorriso, não saia antes dos créditos finais para poder curtir a dupla dublando ""Ain't No Mountain High Enough"" (Diana Ross & The Supremes & The Temptations). Assim, um dos méritos desta produção, sem dúvida alguma, foi não se deixar levar pela solução óbvia, costurando cada detalhe para virar um deliciosa comédia urbana, bucólica, dramática e romântica. Assim mesmo, cheia de adjetivos para combinar com o longo título."
Wall-E,5.0,"É sempre bom assistir a filmes da era do cinema mudo. Trata-se de outro estilo, refletido não só na visão de mundo da época mas na própria linguagem cinematográfica. Um cinema mais simples, mais expressivo, que contava sua história basicamente através de emoções, sem as pirotecnias atuais e com muita criatividade. Não que o cinema falado seja ruim, existem várias pérolas produzidas neste formato. Mas o cinema mudo tem seu charme. E é justamente este sentimento que Wall-E, a ousada nova produção da Pixar, traz de volta.   Ousada porque foge completamente do panorama do cinema de animação comercial da última década. O que chega a ser até curioso, visto que a ascensão da animação computadorizada começou com Toy Story, 1º longa-metragem da... Pixar. Curioso, mas não estranho. Ao longo dos anos o estúdio sempre se mostrou um passo a frente dos demais. Não apenas investiu na melhoria técnica da animação, mas também no roteiro de cada um de seus projetos. E este é seu grande diferencial: ao invés de explorar ao extremo uma mesma fórmula, a Pixar busca criar. Em cada um de seus filmes pode-se perceber situações surpreendentes, seja em pequenos detalhes de contexto ou no próprio conceito do filme. Wall-E vai neste segundo caminho. Chega a ser espantoso ver uma suposta animação infantil com tantas referências à história do cinema e seguindo um caminho tão diferente do lugar comum de animais falantes engraçadinhos que a animação comercial se tornou.  Tudo começa a partir de uma Terra inóspita e entulhada de lixo, uma visão que já de início surpreende. Nele vive o pequeno robô Wall-E, que tem por missão compactar o lixo existente. Tendo apenas a companhia de uma barata - uma ótima aposta corajosa da Pixar -, Wall-E é também curioso. Coleciona diversos objetos que encontra durante o trabalho, que indicam que neste mesmo planeta um dia já houve vida. E assiste, repetidas vezes, uma fita VHS do musical Alô, Dolly!. Lembra dele? Hoje em dia pouco lembrado, concorreu a 7 Oscars em 1969 e fez muito sucesso. É apenas a 1ª, e mais explícita, de uma série de citações que fazem com que qualquer conhecedor de cinema se delicie.   Como se pode perceber, a vida de Wall-E é solitária. Até surgir Eva, um moderno robô que passa a vasculhar todo o planeta. Sempre curioso, Wall-E tenta conhecê-la. E se apaixona. Uma situação insólita por serem dois robôs os envolvidos, mas ao mesmo tempo terna e cativante. Pois o sentimento deles não é apresentado por palavras, mas por emoções. Praticamente em metade do filme não há diálogos, apenas ruídos robotizados que quase sempre são a repetição dos nomes do casal. A excelência da animação e os precisos movimentos de Wall-E e Eva, cuidadosamente e carinhosamente calculados, dão o tom. E nasce uma história de amor, das mais puras e singelas que o cinema produziu nos últimos anos.  Há diversas cenas que impressionam, especialmente as situadas no espaço. Uma em especial merece destaque: o balé de Wall-E e Eva, quando se divertem voando do lado de fora da nave. É uma cena mágica, pela junção precisa da beleza visual e emocional. Neste momento o filme já mudou bastante sua história, trazendo à tona o que aconteceu com os humanos que abandonaram a Terra. E aqui vem mais uma grande idéia da Pixar, com uma análise crítica da sociedade moderna. Mais uma vez, surpreendente.   Se Wall-E pudesse ser definido com apenas uma palavra talvez a ideal seja graciosidade. Pela história, pelo visual, pelos personagens carismáticos. Um filme corajoso em sua proposta, com claro enfoque adulto mas que pode também agradar ao público infantil. Resumindo, mais uma pérola da Pixar."
Hotel Transilvânia,5.0,"Os filmes de animação têm uma missão complicada: agradar baixinhos e altinhos. Durante anos, a Disney cumpriu esse papel e dominava absoluta. Aí veio a Pixar com Toy Story (1995), dividiu esse bolo e desde então outros estúdios tentam abocanhar uma fatia do segmento. Querendo tocar o terror na concorrência na corrida por essa expressiva audiência composta pelas famílias, a Sony Pictures mostra suas garras, dentes e outras coisitas mais com Hotel Transilvânia, um ""lugar"" construído para ser refúgio de monstros que morrem de medo dos humanos. Achou estranha essa introdução? Era uma vez um vampirão famoso que perdeu sua esposa no passado, mas conseguiu manter a sua filhota sob sua guarda até o presente. Para comemorar os 118 anos dela, ele desenterra uma festinha bolorenta com a turma de sempre no tal castelo que virou hotel. Sem ser convidado, um jovem mochileiro pinta no pedaço crente que estava numa festa a fantasia e, sem mais nem menos, rola uma senhora atração entre ele e a ""moça"". Mas o pai da morceguinha não aceita o interesse dela por humanos, ainda mais um que ""leva"" o mundo nas costas, e aí começa a aventura.Essa é a simpática historinha que envolve esses dois pombinhos, digamos, diferentes, e cujo tema principal é o eterno dilema dos pais, que insistem em não criar os filhos para o mundo. Conflito revelado e sem sustos, o roteiro é um caixão aberto para situações divertidas e diálogos inspirados, que vão desde a chegada triunfal dos clássicos monstros ao local até uma impagável e hilária participação deles numa convenção, acredite, de humanos. Rico em detalhes, como chaveiros que falam demais, ""polengritos"" de sobremesa e ainda zumbis chamados de Mozart, Bach e Bethoven, não é tarefa das mais difíceis se encantar e aproveitar essa ""estadia"". Críticas aos hábitos da humanidade, tirada de sarro pra cima dos vampiros da saga Crepúsculo e, entre outras boas sacadas, tem até uma camisa que insiste em parecer da seleção brasileira. Será que era essa a intenção? Assustador! Para a turma acima dos 40, é possível ver clara inspiração no clássico desenho animado Os Monstros Camaradas (Groovies Goolies - 1972), seja no flerte musical, com banda e tudo, ou no fato do Drácula errar a porta. No desenho, ele nunca acertava a janela. Produtor e roteirista de desenhos definitivos, como O Laboratório de Dexter e As Meninas Super-Poderosas, Genndy Tartakovsky estreia na direção de um longa com o pé direito, apresentando uma obra bem fechadinha e de excelente ritmo. Em 3D e dublado por talentos como Alexandre Moreno e Mauro Ramos, funcionou que é uma beleza. Então basta escolher o seu ""quarto"" (dublado ou original) e entrar sem medo nas ""instalações"" de Hotel Transilvânia, uma diversão cinco estrelas."
A Era do Gelo 3,5.0,"Quem conhece Manny, Ellie, Sid, Diego, Crash e Eddie e, claro, Scrat, já tem uma ideia do que o aguarda dentro da sala escura. Sem querer inventar a roda, o roteiro do filme do brasileiro Carlos Saldanha optou por um tema verdadeiro, complexo, mas muito comum no cotidiano das pessoas. Ainda mais para aquelas que já chegaram numa certa idade e começam a ver os amigos se casando, tendo filhos e, inexoravelmente, mudando de vida. Para muitos, um ciclo natural. A gravidez dos mamutes Ellie e Manny mexe com todos. E a sentença ""É hora de separar. Os tempos são outros"", dita por Diego para Sid é a deixa para o começo desta história sobre amizade e família, elos importantes, que quando rompidos costumam vir acompanhados de tristeza. Mas não no caso desta eclética turminha que vai dividir com o espectador questões como maternidade e ""solteirice"" de um jeito bem humorado e emocionante. E como Scrat é parte indissociável da franquia, A Era do Gelo 3 começa com seu focinho limpando a tela para em seguida ter a visão de uma noz e - surpresa - de Scratita. O amor a primeira vista se dá ao som do clássico de Lou Rawls ""You'll Never Find Another Love Like Mine"". Ou seja, dentro do espírito da nova aventura, Scrat vai se dividir entre o desejo pela noz (bolota) fujona e o coração de Scratita. E a história paralela deles rende momentos divertidos como a depilação (O Virgem de 40 anos) ou quando Scrat cai e chega ao fim do precipício e reproduz a tradicional poeira do contato do corpo do Coiote com o solo no desenho Beep Beep. A grande sacada foi colocar a poeirinha de Scrat em formato de coração. O roteiro abusa da licença poética e faz com que dois mundos distantes no tempo - e na lógica - estejam paradoxalmente paralelos. Assim, o pontapé inicial para a aventura ""oficial"" é a ""maternidade"" de Sid ao achar e retirar três ovos gigantes de dentro de um misterioso buraco na terra. A relação de Sid com os ovos rende uma seqüência inicial de muita ação e um momento de pura ternura quando a sua sombra com os ovos, na pedra, parece a de uma preguiça grávida. Brilhante. A trama ganha corpo - literalmente - com o nascimento dos T-Rex (apaixonantes) e a visita da ""Mamãezilla"", que os leva de volta para o seu mundo junto com Sid. A decisão do grupo de resgatá-lo faz com que eles conheçam o novo personagem Buck, uma solitária doninha que usa tapa-olho de pirata e sabe tudo sobre seu mundo. Em A Era do Gelo 3, Saldanha se despede da série (não fará outra seqüência), homenageando dois ícones do cinema: Spielberg nos closes de pegadas e olhos do T-Rex (Jurassic Park), e George Lucas (Guerra na Estrelas) com os hilários gambás Eddie e Crash em cima de um Pterodactilo, perseguidos por uma esquadrilha de Ranforincos ou quando o vilão gigante é derrubado. Foi justa também a rápida citação ao personagem de Hannah-Barbera com um emblemático ""Yabadabadu!"" (Flintstones) ao escorregar pelas costas de um dinossauro. Realizado também em 3D, o filme pode ser visto em 2D sem prejuízo. Destaque para o grito de Scrat parecendo o leão da Metro. Nos créditos finais, além de conter algumas brincadeiras dos personagens do filme, revelam também desenhos ""infantis"" que mais parecem pinturas rupestres dos bichos e dinossauros da história até o fim. A Era do Gelo 3 é uma grande aventura, que passa para os baixinhos e grandinhos valores importantes e presentes nas relações humanas. Com um roteiro eficiente, o longa retrata as angústias de quem, de repente, se encontra só no mundo ou já esqueceu como era ter família, e reforça a importância da amizade e da cooperação. Seja bem vindo e entre nesta fria e gelada diversão."
Megamente,5.0,"A nova produção da DreamWorks em 3D vem com tudo e o recado é dado na logo do estúdio pelo menino da lua ao lançar o anzol, que vem na direção do público. Mas é uma emblemática frase em off que dá o tom do que está por vir: ""O meu fim teve início no começo"". Não é de hoje que os vilões fascinam as pessoas e a dramaturgia tem exemplos de sobra para comprovar esta tese. E como aconteceu no recente e bem sucedido Meu Malvado Favorito, essa ""relação"" ganha força na medida em que o personagem principal, crente que foi talhado para o mal, descobre que seu destino poderia ser diferente. E o legal é que essa descoberta se dá junto com você.Na história, duas crianças caem do espaço em lares distintos e a vilania de um começa bem cedo. Afinal, para ele se enturmar na escola era apenas uma das muitas dificuldades que teria com a enorme cabeça azul. Sem contar a necessidade de enfrentar o charme daquele que futuramente se tornaria seu arquinimigo, o herói Metro Man (Brad Pitt). Uma vez crescidos, surge uma mocinha na trama e ela atende pelo nome de Rosane Rocha (Tina Fey), uma repórter dura na queda pela qual o vilão, veja você, arrasta uma asa. Juntos, eles protagonizam cenas de humor, ódio e até romance, porém o mais significativo é, sem dúvida, descobrir que na vida pode não existir o botão ""reiniciar"", mas é possível começar de novo. E o atrapalhado Megamente (Will Ferrel), ao lado do inseparável Criado (David Cross), cujo visual parece um misto de Chewbacca (Guerra nas Estrelas) e Sully (Monstros S.A.) com um toque de Dory (Procurando Nemo), encontra sua redenção quando percebe que não existe o mal sem o bem: ""Nós temos tudo e não temos nada"". Como já é de praxe, e as animações não brincam em serviço, as referência são muitas. Além das escadarias de um museu e o espelho de água em Metro City, que remetem ao Lincoln Memorial em Washington, locação clássica de muitos filmes, sobrou sátira para a campanha de Barack Obama (No, You Can't), pra o Don Corleone de Marlon Brando (O Poderoso Chefão) e até para o ator Pat ""Seu Myagi"" Morita (Karatê Kid - A Hora da Verdade). Para os pais que apreciam o rock dos anos 80, a produção capricha na trilha com Highway to Hell e Back in Black (AC/DC) e Crazy Train (Ozzy Osbourne), música que, por sinal, chega a ser cantada pelo Criado. O divertido nesta área foi o contraponto que encontraram ao inserir Alone Again (Naturally), hit dor de cotovelo dos anos 70 na voz de Gilbet O. Sullivan. A cena é impagável. Ah! Os mais chegados na música pop não foram esquecidos. Tem coreografia para Bad, de Michael Jackson. E quem gosta de detalhes, a dica é não sair antes dos créditos finais porque tem sequência adicional logo no começo. Assim, com um humor afiado e expressões faciais cativantes não será difícil para o espectador se encantar pelo cabeçudo azul, esse alguém tão desacostumado ao carinho. E o motivo não terá sido nenhum outro senão o fato de que Megamente é super bem feito e hiper divertido."
O Orfanato,5.0,"Um dos grandes baratos dos filmes de suspense é assustar. De uns anos para cá, essa premissa tornou-se missão impossível para grande parte das produções do gênero. Felizmente alguns produtores, roteiristas e diretores ainda conseguem realizar trabalhos que merecem figurar nessa seleta galeria. O Orfanato faz parte deste time. A produção é de Guillermo del Toro (O Labirinto do Fauno) e apesar de uma possível barreira do idioma (espanhol), a história é bastante envolvente. Ela se passa numa grande e assustadora casa (você já viu isso antes) e com os pais adotivos de um menino que afirma ter ""seis"" misteriosos amigos imaginários. O local era um antigo orfanato (do título) onde a mãe dele (a atriz Belén Rueda de Mar Adentro) foi criada, mas é no presente que estranhos acontecimentos se iniciam e culminam com o desparecimento do garoto.Os momentos de tensão são bem executados, com trilha e sonoplastia atuando em sintonia. Os sustos são bem colocados e respeitam a inteligência do espectador. A seqüência do atropelamento, por exemplo, foi chocante. Curta e grossa. E na hora certa.   É suspense envolvente ""como nos velhos tempos"". E, às vezes, você se assusta mais pelo que não vê. A seqüência da brincadeira ""1,2,3 toca na parede"" é de arrepiar. A fotografia tem a textura adequada e proliferam tomadas clássicas de balanços que se mexem no jardim, corredores longos, portas que se fecham, cenas de Super 8 e até uma tomada da mãe em primeiro plano com a casa ao fundo. Mais clássica impossível. E sem demérito algum porque são elementos estruturais de uma boa trama do gênero.Um pequeno escorregão no roteiro foi incluir um diálogo em que um paranormal diz ser impossível encontrar um exorcista nas páginas amarelas. Além de remeter ao clássico O Exorcista (1973), insere uma pitada de humor totalmente dispensável.   A curiosidade fica por conta do nome de um dos amigos imaginários (Guillermo) e da pequena participação de Geraldine Chaplin (Dr. Jivago) como uma médium com revelações impressionantes para a mãe do menino durante sua busca. Interessante também a citação de Wendy, de Peter Pan. Portanto, pode adotar O Orfanato e assistir sem susto. Melhor dizendo, o programa é garantido. E os sustos também."
Zona Verde,5.0,"Inspirado no livro ""A Vida Imperial na Cidade Esmeralda"" que escancarou para o mundo a porta do oásis yankee (a zona verde do título) em plena Guerra do Iraque, o filme pode ser percebido por muitos como uma breve aula de história atual e clara denúncia do desatino americano na invasão daquele país. E esta percepção só aumenta quando se leva em consideração a origem do diretor Paul Greengrass como documentarista.Estrelado por Matt Damon, Zona Verde tem muito dos filmes Bourne que a dupla realizou juntos, mas também elementos da realidade que o longa aborda. Assim, os já tradicionais momentos da câmera ""nervosa"", imagem granulada e sons dos cartuchos caindo no chão só aumentam a sensação de veracidade e geram envolvimento com o espectador. Na história, Miller (Damon) lidera uma equipe de buscas de armas de destruição em massa em plena Bagdá e se descobre num conflito interno ainda maior entre seus compatriotas. Pior do que isso, constata que uma mentira (“seu governo ouviu o que queria”) pode se transformar numa arma poderosa igualmente capaz de matar milhares de pessoas. Diante deste clima de conspiração e um intenso jogo de gato e rato, a trilha sonora do parceiro John Powell é o tempero adicional para você submergir de vez num caldeirão de tensão total. Com excelentes atuações de todo o elenco (de conhecidos e desconhecidos), Zona Verde causa impacto em vários aspectos, tem sequências de tirar o fôlego e deve agradar todos aqueles que gostam de filmes do gênero. Funciona também como um sinal amarelo para quem pretende fazer cinema de verdade e um cartão vermelho para a política americana de ocupação."
Ilha do Medo,5.0,"O que um bom filme de suspense precisa ter?  Ação? Nem tanto. Um bom elenco? Ajuda.  Roteiro e direção de qualidade? Certamente.  As perguntas e respostas anteriores sintetizam o que é Ilha do Medo, filme estrelado por Leonardo DiCaprio apoiado por um elenco competente, multinacional e muito luxuoso. A abertura simples acompanhada dos acordes iniciais de uma trilha absolutamente memorável já deixa o espectador com a impressão que está diante de um filmão. O que pode ser comprovado logo em seguida na apresentação magistral (visual e falada) de onde vai se desenrolar a trama. É quase impossível não ser pego nestes primeiros minutos e este é o grande barato da história: gerar envolvimento. Di Caprio vive um agente federal atormentado pelo passado diante de uma trama psicológica que vai envolver você do começo ao fim, fazendo lembrar os bons filmes de mestres do gênero, do qual Martin Scorsese não faz parte, mas poderia porque cumpriu a missão com maestria. Ilha do Medo entra para o rol dos suspenses de qualidade realizado por alguém  que tem hábito de andar por outras praias, mas quando se aproxima do mar com fez em Cabo do Medo, parece se sentir a vontade e consegue resultados de tirar o fôlego.  Repleto de referências cinematográficas e históricas (visuais e auditivas), o longa faz jus ao título que ganhou no Brasil e assusta, crescendo minuto a minuto. Quem gosta de tramas complicadas (não complexas) com enigmas, anagramas, traumas, alucinações e, claro , cenas impactantes, vigorosas e, algumas, que beiram um surrealismo de tirar o chapéu, não perde por esperar. O visual bem elaborado em todos os ambientes do filme, externos e internos, faz com que eles atuem junto com os atores e o resultado é impressionante...impactante...insano. Bem vindo à  Ilha do Medo."
Tudo Pode Dar Certo,5.0,"Algumas coisas não mudam nunca e, em alguns casos, ainda bem. Se você está entre os cinéfilos que sempre curtiram os filmes de Woody Allen e os personagens neuróticos, pode se preparar. E quem integra a turma que nunca foi muito com a cara do cineasta deveria fazer o mesmo, até porque ele não participa do filme. A afirmativa se comprova, inclusive, no inusitado início com o protagonista provocando a curiosidade ao afirmar para os personagens em cena que tem gente (espectadores) atrás da tela. É a quarta parede da dramaturgia? É a ""interatividade/genialidade"" de Allen ao seu dispor.Na história, Boris (Larry David) é um hipocondríaco, mau humorado profissional, muito inteligente e, principalmente, alguém que duvida da vida em todos os sentidos. Até o dia em que ele conhece a jovem Melodie (Evan Rachel Wood), que como uma música ouvida pela manhã, se aloja em seu cérebro e, quando ele se dá conta, está inserida em sua desgraçada rotina. Tendo como pano de fundo este improvável romance entre um coroa manco e careca, e uma loira, cuja beleza é inversamente proporcional a sua inteligência, Tudo Pode Dar Certo investe nos erros das pessoas quando o assunto é relacionamento. Assim, o roteiro sai destilando através do velho rabugento (que se diz sem desejo de nada) toda a ""fúria"" contida nas frustrações amorosas ou não.A força do longa (óbvio) está nos diálogos rápidos, cheios de sacadas, críticas à sociedade e seus preconceitos. E não faltarão as tradicionais, mas bem encaixadas, piadas sobre cor de pele, judeus, armas, Deus, holocausto, prêmios Nobel e Oscar, música, acampamentos e até controle de natalidade. Mas o amor, sua efemeridade e a longevidade, parece ser a principal vítima. E o filme impregnado de Allen abre ainda uma ""janela"" divertida para falar de homossexualismo e suicídio. Com trilha sonora no estilo já tradicional do diretor, o elenco todo está perfeito e o destaque vai para a dupla David e Wood, brilhantes e hilários em cena. Diz o ditado que se conselho fosse bom não seria dado, seria vendido. Além de achar o dito popular capitalista ao extremo, diria que se você procura diversão neste, ou em qualquer outro fim de semana, Tudo Pode Dar Certo."
A Invenção de Hugo Cabret,5.0,"No livro de entrevistas ""Conversas com Scorsese"", de Richard Schickel, Martin Scorsese revela certo incômodo quando é apontado como diretor de filmes de gângsteres, afinal realizou muitas obras que não encaixam no gênero, como Alice  Não Mora Mais Aqui, New York,  New York, O Aviador e muitas outras. Mas nem ele é capaz de negar que a infinita maioria de suas produções possuem temas adultos. Incomodada com o fato, a esposa do cineasta sugeriu que ele fizesse um longa que sua filha de 12 anos pudesse assistir, tendo em vista que a jovem ainda não pode chegar perto de                                                                                                              Taxi Driver, Touro  Indomável e companhia. Daí nasceu A  Invenção de Hugo Cabret.O longa é absolutamente encantador, sendo atrativo para todos os públicos. Uma de suas características mais importantes é a multiplicidade de gêneros. É difícil enquadrar Hugo em um simples segmento cinematográfico. O filme é, ao mesmo tempo, aventura, fantasia, ação, comédia, romance, drama, ficção científica e, até, documentário. E todos os gêneros funcionam numa harmonia impressionante, fruto de uma direção talentosíssima de Scorsese e de uma edição bem trabalhada de Thelma Schoonmaker, parceira de longa data do cineasta.Adaptação de livro homônimo de Brian Selznick, o filme chegou ao Brasil uma semana depois de O Artista. Podemos dizer que este último, que é mudo e em preto e branco, é uma carta de amor ao cinema clássico. Pois bem, Scorsese foi ainda mais longe e bolou uma carta de agradecimento. Ele, e qualquer cineasta um pouco mais inteirado sobre a origem da sétima arte, sabe que George Méliès foi fundamental para o desenvolvimento do cinema como contador de histórias. Por isso, resolveu traçar aqui algumas linhas para mostrar sua gratidão.Hugo ainda é responsável pela correção de um equívoco histórico. Assim como consideram os irmãos Wright os precursores do avião, os americanos apontam Thomas Edison como o sujeito responsável pela invenção do cinema. A Academia de Artes e Ciências Cinematográficas chegou ao ponto de comemorar os 100 anos da sétima arte na cerimônia do Oscar de 1991, enquanto que o resto do mundo celebrou a data quatro anos depois, em 1995. Aqui, o longa diz com todas as letras: os irmãos Lumière inventaram o cinema em 1895. É claro que esta nunca foi uma discussão muito séria, mas não deixa de ser significativo um dos maiores nomes da cinematografia norte-americana defender tal posição.Ainda sobre a ""invenção do cinema"", o filme pode ser visto como uma ótima oportunidade para as pessoas descobrirem um pouco mais sobre a mesma. Mesmo fazendo uma série de liberdades poéticas na construção da figura de Méliès, a produção traz não apenas regravações de suas obras, mas também imagens originais de clássicos como Viagem à Lua. Também pode ser visto na íntegra A Chegada do Trem na Estação, de Auguste e Louis Lumière, que foi o primeiro filme exibido para uma plateia em 6 de janeiro de 1896.Existe muita nostalgia em A Invenção de Hugo Cabret, mas é muito mais do que apenas o retrato de um acontecimento. Traz uma trama nova e especial sobre a jornada de duas crianças. Hugo Cabret (Asa Butterfield) é um órfão que vive escondido na estação de trem de Paris. Ele junta peças variadas para tentar consertar um robô quebrado, deixado por seu pai (Jude Law). Um dia, ele conhece Isabelle (Chloe Moretz), que passa a ajudá-lo. Butterfield, que já havia se destacado em O Menino do Pijama Listrado, faz um trabalho ainda mais impressionante, auxiliado bastante por seus expressivos olhos azuis. Já Moretz, apenas ratifica o talento que tínhamos visto em Kick  Ass - Quebrando Tudo e Deixe-me  Entrar. O elenco conta ainda com as presenças de Ben Kingsley (sempre ótimo), Sacha Baron Cohen, Christopher Lee, Emily  Mortimer e Helen McCrory.Reminiscências à parte, a relação entre Hugo e Isabelle é o ponto alto da produção. A amizade dos dois é construída de forma delicada e sensível, sem precisar em momento algum sugerir um sentimento que fosse além do companheirismo e da solidariedade. Eles se dão as mãos em vários momentos da história e em todos é possível se emocionar com a genuinidade do ato.Três vezes vencedor do Oscar, Howard Shore faz um trabalho memorável. Sua trilha sonora é bela e dá bem o tom nostálgico e contemplativo da obra. Ele é auxiliado por um visual deslumbrante. Design de produção, figurino, maquiagem, direção de arte, efeitos especiais, tudo mantém um nível de excelência durante os 126 minutos de duração.Também merece destaque a utilização do 3D. Apaixonado por cinema, o diretor jamais aceitaria operar seu filme através de uma conversão para o formato e, por isso, optou por rodá-lo inteiramente com câmeras 3D. O resultado é belíssimo e não irá decepcionar o público. A noção de profundidade e a precisão dos objetos que voam ao seu encontro são dignas de aplauso. James Cameron assistiu ao longa e afirmou que este é o melhor 3D já visto nas telonas, superando inclusive o seu Avatar. E é isso mesmo, o formato gera uma experiência fenomenal ao espectador.Recordista em indicações ao Oscar 2012, concorrendo em 11 categorias, o longa foi escrito por John Logan (Gladiador) a partir da obra de Selznick, que é sobrinho neto de David O. Selznick, produtor de ...E o Vento Levou.Como disse acima, Hugo é uma carta de agradecimento de Scorsese a George Méliès, Auguste Lumière, Louis Lumière e todos aqueles que foram responsáveis não apenas pela criação do cinema, mas principalmente por torná-lo o que é hoje. Não se trata do melhor longa do cineasta nova-iorquino, mas não deixa de ser uma grande oportunidade para agradecer também àquele que há mais de cinco décadas vem contribuindo para fomentar a paixão de muitos pela sétima arte. Assim, resta dizer: obrigado, Scorsese!"
