autor_comentario,nota_comentario,conteudo_comentario
Kamila A.,2,cartaz “ medianera Buenos air amor virtual ” filme escrito dirigir Gustavo toretto seguinte perguntar “ encontrar amor ” dir assistir longo encontrar amor principalmente praticamente encontrár lo situação personagem central obra Martin Javier drolas Mariana pilar López ayala).os viver mesmo rua praticamente vizinho prédio fazer pro outro ficar claro plateia medir ir conhecer personagem encontrar virar casualmente rua Martin viver confinar apartamento precisar viver de ali trabalhar compra supermercado diverte Mariana evitaer sair casa – precisar desempenhar trabalho vitrinista desculpa Martin fobia Mariana medo elevador pensar sair casa apesar viver vida estritamente solitário martin Mariana ser sozinho relacionamento recentemente terminar fase desejar inconscientemente conhecer pessoa medo marca viver passado inserirem-se novamente mundo cidade 3 milhão habitante voltar perguntar inicial cartaz “ medianera Buenos air amor virtual ” encontrar amor?isso ficar difícil tratar personalidade extremamente introvertido ficar difícil considerar fato atualmente mundo virtual passado frente tela computador smartphone tablets construir relacionamento virtual real filme escrito dirigir Gustavo toretto retrato interessante sociedade atual verdade deixar perceber mundo redor principalmente pessoa dia dia confortável estabelecer relacionamento máquina totalmente impessoal relacionamento real – defender decepção sofrimento retornar pergunta movar “ medianera Buenos air amor virtual ” interessante perceber metáfora utilizar Gustavo toretto diretor roteirista encontrar amor hoje dia tarefa difícil quase achar wally livro “ wally ” constatação tirar longo apesar “ medianera Buenos air amor virtual ” filme fazer 2011 obra continuar atualíssimar refletir simples entretanto deixer ficar vidrado tela passer olhar mundo redor amor perceber
Pedro R.,2,querer verdadeiro drama romance hoje filme bom crítico filme questionador moderno texto inteligente aspecto pessoal personagem ser conseguir sentir inserir discurso de eles há várias metáfora ilustrar fácil entender gostar associação inteligente procurar “ wally ” livro criança procurar wally fácil tratar procurá-lo cidade tarefa difícil diferente moralista gostar
Bruno Campos,3,raríssimo conseguir cinema comédia romântico inteligente articular excelente roteiro personagem perfeito sintonia ótimo atuação delicioso precisar trilha sonoro filme argentino emocionar claro inserir fundo crônico crise financeiro país – retratadar próprio medianera parede janela filme abrir proibida grito fôlego raia entupir nadador esbarrar piscina objeto jogar lixo recolher destaque metáfora sutil piegas protagonista conseguir “ achar wally ” específico página livro “ wally ” – exatamente vida cronicamente enxergar mesmo cego prêmio público mostrar panorama festival Berlim
Camila Reis,2,interessante criativo narrativa fotografiar bom atuação péssimo finalização
Pitacos.cinematográficos,2,medianera originalmente curta-metragem ganhar versão longo enquadr categoria aberturar filme primor mostrar mar prédio capital porter narrador off analisar ba´s cidade costa rio urbanização totalmente caótico prédio alto baixo velho contraste deterioram ambiente urbano de aí análise caos planejamento espelhar vidas.[leia crítico completar link blog
Elaine L.,1,comédia romântico água açúcar típico filme em aquele dia bom pra ... legal
Luciano Deppa B,1,narrativa cansativo medianeiro cativar conduzir espectador
milarodrigues,3,recomendar mesmo lista amelie poulain ver vantagem invisível acabar favorito hoje
Talles D.,2,filme contar encontro bobo vario vida tornar filme visao sao texto analogia metafora utilizar induzir refletir parede condicionamento estar sujeito
Letisassi,1,horrível filme depressivo personagem problemático depressivo cidade depressivo vida amoroso sucedir carreira sucedir ... mostrar realidade depressivo buenos air cachorro suicidar pessoa depender remédio ansiedade depressão ... cidade mundo fumar transar manequim piorar filme mudar sentido invés continuar mostrar realidade virar conto far certo errar vida real mundo morrer
Erlick Badu,3,ver há achei sensacional lembrar resolvi informar =)
Jardel C.,2,cinema argentino bom convite conhecer bueno air recomendar
Kenny S.,3,filme argentino conseguir filme tema simples brasileiro sacar recomento principalmente aprender língua espanhol
Maria Inês D.,2,filme vida metrópole arquitetura atual modo vida distancia entristecer pessoa
Um visitante,3,pessoa buscar encontrar pessoa perfeito encontrar parceiro relacionamento internet perder inúmero oportunidade conhecer bom pessoa próximo fisicamente haver proximidade corporal enorme distância afetivo
Diego C.,2,bom filme    ter pra chato      valer pena assistir
Thiago Soares Meireles,2,achar filme monótono ... paradão ... simples ... ai entendi sentido filme achei excelente filme monótono ... paradão .... simples ... vida de eles sentir filme personagem entrar história sentido entender filme propor percebe entregar excelência
Alexandre C.,1,filme relação amoroso tempo moderno cidade Solidão desencontro paradoxalmente tônico muito cidade altamente povoar Buenos air atualidade       procurar retratar insegurança fobia gerar vida caótico centro vida virtual refúgio valer pena
Fabiana R.,3,demorei assisti-lo inteiro obra-prima animação temático adulta inteligente criticar acostumar desenho estilo gelo madagascar sherek desenho divertir claro gostar ser cult animação esperar
